ranking;empresa_raw;primas_miles_bs;pct_participacion;year;month;fecha_periodo;archivo_fuente;hoja_mes;empresa_norm
1;Mercantil C.A.  Seguros;6831104.74625;27.389668394616244;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;Mercantil C.A. Seguros
2;Caracas C.A.  Seguros;5011388.7606999995;20.093422872402915;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;Caracas C.A. Seguros
3;Pirámide C.A.  Seguros;1935873.88331;7.761986631337542;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;Pirámide C.A. Seguros
4;Internacional  S.A. de Seguros;1541385.92075;6.180266707321205;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;La Internacional
5;Mapfre La Seguridad  C.A. de Seguros;1177659.82432;4.7218880793028255;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;Mapfre La Seguridad C.A. de Seguros
6;Oceánica de Seguros  C.A.;1167293.2402699997;4.680322723469232;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;Oceánica de Seguros C.A.
7;Hispana de Seguros  S.A.;955552.81613;3.8313385227638226;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;Hispana de Seguros S.A.
8;Constitución C.A.  Seguros;916713.09634;3.6756086540084207;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;Constitución C.A. Seguros
9;Banesco Seguros C.A.;703121.9326299998;2.8192038171116343;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;Banesco Seguros C.A.
10;Real Seguros  S.A.;645344.9347199999;2.587543950607602;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;Real Seguros S.A.
11;Universitas  C.A. Seguros;604470.98346;2.4236577253811955;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;Universitas C.A. Seguros
12;Estar Seguros  S.A.;601879.39676;2.4132666242393395;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;Estar Seguros S.A.
13;Altamira C.A.  Seguros;503781.63429;2.019938563242747;2023;12;2023-12-31;primas-netas-cobradas-por-empresa-2023.xlsx;Diciembre;Altamira C.A. Seguros
