ranking;empresa_raw;peer_id;pnc_miles_bs;rt_bruto_miles_bs;reaseguro_cedido_miles_bs;rt_neto_miles_bs;gestion_general_miles_bs;saldo_operaciones_miles_bs;pct_saldo_sobre_pnc;year;month;fecha_periodo;archivo_fuente
1;Adriática de Seguros, C.A.;adriatica de seguros c a;35.1685200000002;0.0;35.1685200000002;125.44992;160.61844;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
2;Altamira C.A., Seguros;altamira c a seguros;138301.62087;-157880.83214;-19579.21127;135228.99208;115649.78081;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
3;American International, C.A. de Seguros;american international c a de seguro;29432.01218;-14738.1157;14693.89648;9367.24722;24061.1437;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
4;Andes C.A., Seguros Los;andes c a seguros los;779.915669999888;-25920.46047;-25140.5448000001;598.97174;-24541.57306;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
5;Aseguradora Nacional Unida Uniseguros, S.A.;aseguradora nacional unida uniseguro;86312.5916500001;-77428.50204;8884.08961000011;1390.1584;10274.24801;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
6;Ávila C.A., de Seguros;avila c a de seguros;-12752.74706;-2108.04492;-14860.79198;9446.85795;-5413.93403;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
7;Banesco Seguros C.A.;banesco;40895.3154500004;-32575.3634;8319.95205000048;10581.7245;18901.67655;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
8;Atrio Seguros C.A., (antes Seguros Comerciales Bolívar);atrio seguros c a (antes seguros com;2886.30525000002;3523.33341;6409.63866000002;-6007.03554;402.60312;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
9;Bolivariana de Seguros y Reaseguros, C.A.;bolivariana de seguros y reaseguros ;-576.838709999996;-184.76954;-761.608249999996;-236.01586;-997.62411;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
10;Vivir Seguros C.A., (antes Canarias de Venezuela C.A);vivir seguros c a (antes canarias de;-6253.53484000032;-14392.8451400002;-20646.3799800005;22991.7873;2345.40732;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
11;Carabobo C.A., Seguros;carabobo c a seguros;1616.69383000002;-2668.82659;-1052.13275999998;241.0634;-811.06936;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
12;Caracas de Liberty Mutual C.A., Seguros;caracas;421202.555650004;-194614.2803;226588.275350004;162362.21435;388950.4897;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
13;Caroní, C.A., Seguros;caroni c a seguros;11568.7899;491.803210000008;12060.59311;-3884.09164;8176.50147;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
14;Catatumbo C.A., Seguros;catatumbo c a seguros;28837.5576000002;-29551.5922999999;-714.03469999975;10788.75456;10074.71986;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
15;Constitución C.A., Seguros;constitucion;31863.22559;-7296.92677000009;24566.29882;-12596.92381;11969.37501;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
16;Corporativos C.A., Seguros;corporativos c a seguros;29147.97862;-105.07852;29042.9001;-5040.17154;24002.72856;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
17;Estar Seguros, S.A. (antes Royal & Sunalliance, S.A.);estar seguros s a (antes royal & sun;57126.2740499998;-63853.2168400001;-6726.94279000027;9144.93516;2417.99237;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
18;Fé C.A., Seguros La;fe c a seguros la;39934.22151;0.0;39934.22151;-15374.38288;24559.83863;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
19;Federal C.A., Seguros;federal c a seguros;-733196.31103;3455.14987;-729741.16116;-1275.20033;-731016.36149;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
20;Guayana C.A., Seguros;guayana c a seguros;6135.93359000002;1489.70088;7625.63447000001;1113.66322;8739.29769;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
21;Hispana de Seguros, C.A.;hispana;10245.70399;-6496.11556999999;3749.58841999997;-3182.06839;567.52003;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
22;Horizonte, C.A. Seguros;horizonte c a seguros;220336.82913;-49138.78615;171198.04298;-31096.05501;140101.98797;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
23;Iberoamericana de Seguros C.A.;iberoamericana de seguros c a;32526.82602;-19054.67171;13472.15431;-7596.15919;5875.99512;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
24;Interbank Seguros S.A.;interbank seguros s a;6083.62855999999;-1980.1991;4103.42945999999;2071.63025;6175.05971;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
25;Internacional, C.A. de Seguros La;La Internacional;1952.64104000001;-1013.12722;939.513820000011;-189.57389;749.93993;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
26;Mapfre La Seguridad, C.A. de Seguros;mapfre;-17474.9827799997;57127.24509;39652.2623100003;86884.04072;126536.30303;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
27;Mercantil C.A., Seguros;mercantil;83210.4184699988;-56902.7487800001;26307.6696899986;58077.48633;84385.15602;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
28;Multinacional de Seguros C.A.;multinacional de seguros c a;66058.6139800004;-34601.1705200001;31457.4434600003;1847.60331;33305.04677;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
29;Mundial, C.A.V. de Seguros de Crédito La;mundial c a v de seguros de credito ;1424.05784;-2055.28441;-631.226570000001;-109.9723;-741.19887;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
30;Nuevo Mundo S.A., Seguros;nuevo mundo s a seguros;3468.92758000008;-1092.83005000003;2376.09753000005;1805.0264;4181.12393;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
31;Occidental C.A., Seguros La;occidental c a seguros la;154333.80464;-136926.42567;17407.3789700002;3337.96039;20745.33936;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
32;Oceánica de Seguros, C.A. (antes Grasp, C.A.);oceanica;8067.62872000001;-8353.69301999998;-286.064299999972;1695.10716;1409.04286;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
33;Oriental de Seguros C.A., La;oriental de seguros c a la;3769.94565999999;-14322.29111;-10552.34545;1952.21364;-8600.13181;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
34;Pirámide C.A., Seguros;piramide;92918.0506300004;-84271.2361899999;8646.81444000042;-4112.07837;4534.73607;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
35;Previsora, C.N.A. de Seguros La;previsora c n a de seguros la;40641.7025400002;-14472.9279;26168.7746400002;-9695.1388;16473.63584;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
36;Primus Seguros C.A.;primus seguros c a;-1606.3573;11.38864;-1594.96866;307.56963;-1287.39903;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
37;Proseguros, S.A.;proseguros s a;8026.03616999999;-4332.29938000002;3693.73678999997;2356.42548;6050.16227;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
38;Provincial S.A., Seguros;provincial s a seguros;10002.72609;-2650.24001;7352.48607999999;3774.53246;11127.01854;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
39;Qualitas C.A., Seguros;qualitas c a seguros;56940.3172399998;-12423.27603;44517.0412099998;-33921.1046;10595.93661;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
40;Regional, C.A. de Seguros La   1/;regional c a de seguros la 1/;0.0;0.0;0.0;0.0;0.0;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
41;Universal de Seguros C.A.;universal de seguros c a;12653.60767;-10405.35446;2248.25320999999;-823.75283;1424.50038;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
42;Universitas, C.A. Seguros;universitas c a seguros;-4515.6675300002;36383.6057799999;31867.9382499997;-26997.88282;4870.05543;;;2015;1;2015-01-31;cuadro-de-resultados-2015.xlsx
